Frequency;Impedance;Phase;Real;Imaginary;Magnitude
 10680 ; 6,69000356803033E-05 ;-60,3591552794987 ;-2466 ;-354 ; 2491,27918949282 
 10700 ; 6,66042371354969E-05 ;-60,6960919691444 ;-2479 ;-341 ; 2502,34330178735 
 10720 ; 6,63641621467082E-05 ;-60,7014711063201 ;-2488 ;-342 ; 2511,3956279328 
 10740 ; 6,60774252160546E-05 ;-60,7354986560587 ;-2499 ;-342 ; 2522,29359908794 
 10760 ; 6,53077485641628E-05 ;-60,8268238286593 ;-2529 ;-342 ; 2552,01978832453 
 10780 ; 6,52014803868532E-05 ;-60,9751176750646 ;-2534 ;-336 ; 2556,17917994807 
 10800 ; 6,51777788868747E-05 ;-60,8196330933173 ;-2534 ;-343 ; 2557,10871884635 
 10820 ; 6,48375037061812E-05 ;-60,770148509305 ;-2547 ;-347 ; 2570,52873938418 
 10840 ; 6,49245047484175E-05 ;-61,0073894773766 ;-2545 ;-336 ; 2567,08414353718 
 10860 ; 6,456553324348E-05 ;-60,982046924963 ;-2559 ;-339 ; 2581,35662007403 
 10880 ; 6,45061068640167E-05 ;-60,9219208602068 ;-2561 ;-342 ; 2583,73470000308 
 10900 ; 6,46019192637862E-05 ;-60,8881491200215 ;-2557 ;-343 ; 2579,90271134398 
 10920 ; 6,39905461678419E-05 ;-60,9830695653455 ;-2582 ;-342 ; 2604,55140091341 
 10940 ; 6,38900530738724E-05 ;-60,9728320895487 ;-2586 ;-343 ; 2608,64811732054 
 10960 ; 6,33890596078404E-05 ;-60,9005234727352 ;-2606 ;-349 ; 2629,26548678524 
 10980 ; 6,36690884758901E-05 ;-60,9770357220437 ;-2595 ;-344 ; 2617,70147266643 
 11000 ; 6,32634223296682E-05 ;-60,8718456626813 ;-2611 ;-351 ; 2634,48704684612 
 11020 ; 6,289427741296E-05 ;-60,9822228211002 ;-2627 ;-348 ; 2649,94962216266 
 11040 ; 6,23716765638255E-05 ;-60,9804022560494 ;-2649 ;-351 ; 2672,15306447816 
 11060 ; 6,26116166476235E-05 ;-60,842612682796 ;-2638 ;-356 ; 2661,91284605638 
 11080 ; 6,24751861719707E-05 ;-60,8811312440514 ;-2644 ;-355 ; 2667,72581049852 
 11100 ; 6,22131567722834E-05 ;-61,0212695269888 ;-2656 ;-350 ; 2678,9617391818 
 11120 ; 6,17410960627025E-05 ;-60,9715139914558 ;-2676 ;-355 ; 2699,44457250005 
 11140 ; 6,20372481689162E-05 ;-60,9350533984305 ;-2663 ;-355 ; 2686,55802096288 
 11160 ; 6,18910835921589E-05 ;-60,8886521900861 ;-2669 ;-358 ; 2692,90270897409 
 11180 ; 6,16354623674529E-05 ;-60,8776364947471 ;-2680 ;-360 ; 2704,07100498489 
 11200 ; 6,12580681139796E-05 ;-60,7972655770037 ;-2696 ;-366 ; 2720,73004908609 
 11220 ; 6,11406755297493E-05 ;-60,7697478476951 ;-2701 ;-368 ; 2725,9539614601 
 11240 ; 6,11315568548882E-05 ;-60,7072785322093 ;-2701 ;-371 ; 2726,36057776663 
 11260 ; 6,08840690560148E-05 ;-60,8658711934836 ;-2713 ;-365 ; 2737,44296744243 
 11280 ; 6,04622694253632E-05 ;-60,8773290265319 ;-2732 ;-367 ; 2756,54004142875 
 11300 ; 6,08120851183071E-05 ;-60,8327956563602 ;-2716 ;-367 ; 2740,68330895782 
 11320 ; 6,05098414453368E-05 ;-60,7453210200412 ;-2729 ;-373 ; 2754,37288688369 
 11340 ; 6,01048785884587E-05 ;-60,8394301445476 ;-2748 ;-371 ; 2772,93076004433 
 11360 ; 5,97487787219915E-05 ;-60,781623039005 ;-2764 ;-376 ; 2789,4572948873 
 11380 ; 6,00200892049015E-05 ;-60,7045767182439 ;-2751 ;-378 ; 2776,84803329242 
 11400 ; 5,98084857883501E-05 ;-60,8983182556035 ;-2762 ;-370 ; 2786,67256777685 
 11420 ; 5,96765072830862E-05 ;-60,7289348585054 ;-2767 ;-379 ; 2792,83547671538 
 11440 ; 5,92655203702921E-05 ;-60,7007247457663 ;-2786 ;-383 ; 2812,2028731939 
 11460 ; 5,91490382783887E-05 ;-60,7777741465498 ;-2792 ;-380 ; 2817,74093912127 
 11480 ; 5,89305007350039E-05 ;-60,7248001631375 ;-2802 ;-384 ; 2828,19023405428 
 11500 ; 5,88714503126095E-05 ;-60,7530949666215 ;-2805 ;-383 ; 2831,02702212466 
 11520 ; 5,88927819861931E-05 ;-60,6071988059866 ;-2803 ;-390 ; 2830,00159010556 
 11540 ; 5,83810377253228E-05 ;-60,8182595747053 ;-2829 ;-383 ; 2854,80822473244 
 11560 ; 5,8553479873918E-05 ;-60,5718340177945 ;-2819 ;-394 ; 2846,40070966826 
 11580 ; 5,81772549561335E-05 ;-60,6838555199575 ;-2838 ;-391 ; 2864,80802149114 
 11600 ; 5,78378847327631E-05 ;-60,5893952718286 ;-2854 ;-398 ; 2881,61760127884 
 11620 ; 5,75805967096862E-05 ;-60,6249371315083 ;-2867 ;-398 ; 2894,49356537547 
 11640 ; 5,8000437497094E-05 ;-60,4461219051241 ;-2845 ;-404 ; 2873,54154311365 
 11660 ; 5,77865701005727E-05 ;-60,6566520940536 ;-2857 ;-395 ; 2884,17648558475 
 11680 ; 5,76622638409315E-05 ;-60,633668919243 ;-2863 ;-397 ; 2890,39409077724 
 11700 ; 5,74602652984074E-05 ;-60,4819916371799 ;-2872 ;-406 ; 2900,5551192832 
 11720 ; 5,70534079042419E-05 ;-60,6977536378593 ;-2894 ;-398 ; 2921,23946296773 
